Date,20SMA,5SMA,Close
2010-01-04,4.75,4.87,4.769999980926514
2010-01-05,4.8,4.93,5.309999942779541
2010-01-06,4.82,4.98,5.090000152587891
2010-01-07,4.86,5.05,5.239999771118164
2010-01-08,4.89,5.11,5.139999866485596
2010-01-11,4.92,5.16,5.039999961853027
2010-01-12,4.94,5.12,5.079999923706055
2010-01-13,4.97,5.2,5.480000019073486
2010-01-14,5.03,5.27,5.590000152587891
2010-01-15,5.06,5.34,5.5
2010-01-19,5.11,5.46,5.639999866485596
2010-01-20,5.17,5.59,5.739999771118164
2010-01-21,5.22,5.59,5.460000038146973
2010-01-22,5.22,5.52,5.239999771118164
2010-01-25,5.22,5.46,5.21999979019165
2010-01-26,5.21,5.34,5.050000190734863
2010-01-27,5.2,5.17,4.860000133514404
2010-01-28,5.21,5.1,5.139999866485596
2010-01-29,5.24,5.12,5.309999942779541
2010-02-01,5.27,5.19,5.599999904632568
2010-02-02,5.33,5.37,5.960000038146973
2010-02-03,5.35,5.53,5.659999847412109
2010-02-04,5.37,5.6,5.489999771118164
2010-02-05,5.4,5.72,5.889999866485596
2010-02-08,5.44,5.79,5.929999828338623
2010-02-09,5.51,5.88,6.440000057220459
2010-02-10,5.58,6.01,6.309999942779541
2010-02-11,5.62,6.18,6.320000171661377
2010-02-12,5.68,6.36,6.809999942779541
2010-02-16,5.75,6.55,6.880000114440918
2010-02-17,5.81,6.62,6.800000190734863
2010-02-18,5.85,6.71,6.730000019073486
2010-02-19,5.93,6.83,6.929999828338623
2010-02-22,6.02,6.87,7.019999980926514
2010-02-23,6.11,6.91,7.090000152587891
2010-02-24,6.22,6.99,7.170000076293945
2010-02-25,6.33,7.06,7.079999923706055
2010-02-26,6.44,7.14,7.329999923706055
2010-03-01,6.56,7.27,7.690000057220459
2010-03-02,6.66,7.39,7.679999828338623
2010-03-03,6.74,7.45,7.46999979019165
2010-03-04,6.82,7.5,7.320000171661377
2010-03-05,6.92,7.52,7.429999828338623
2010-03-08,6.99,7.44,7.320000171661377
2010-03-09,7.08,7.45,7.710000038146973
2010-03-10,7.15,7.54,7.940000057220459
2010-03-11,7.23,7.65,7.840000152587891
2010-03-12,7.31,7.75,7.949999809265137
2010-03-15,7.36,7.87,7.900000095367432
2010-03-16,7.41,7.88,7.769999980926514
2010-03-17,7.45,7.81,7.590000152587891
2010-03-18,7.49,7.74,7.5
2010-03-19,7.5,7.57,7.099999904632568
2010-03-22,7.51,7.45,7.269999980926514
2010-03-23,7.52,7.37,7.389999866485596
2010-03-24,7.53,7.33,7.409999847412109
2010-03-25,7.55,7.31,7.369999885559082
2010-03-26,7.55,7.35,7.300000190734863
2010-03-29,7.53,7.36,7.320000171661377
2010-03-30,7.51,7.32,7.21999979019165
2010-03-31,7.5,7.31,7.349999904632568
2010-04-01,7.5,7.32,7.400000095367432
2010-04-05,7.49,7.28,7.130000114440918
2010-04-06,7.48,7.24,7.079999923706055
2010-04-07,7.43,7.16,6.820000171661377
2010-04-08,7.41,7.2,7.550000190734863
2010-04-09,7.39,7.18,7.320000171661377
2010-04-12,7.37,7.28,7.619999885559082
2010-04-13,7.35,7.36,7.489999771118164
2010-04-14,7.33,7.48,7.420000076293945
2010-04-15,7.32,7.45,7.409999847412109
2010-04-16,7.31,7.42,7.150000095367432
2010-04-19,7.3,7.27,6.889999866485596
2010-04-20,7.29,7.2,7.139999866485596
2010-04-21,7.26,7.07,6.760000228881836
2010-04-22,7.21,6.88,6.46999979019165
2010-04-23,7.17,6.78,6.630000114440918
2010-04-26,7.13,6.7,6.480000019073486
2010-04-27,7.08,6.53,6.329999923706055
2010-04-28,7.09,6.65,7.320000171661377
2010-04-29,7.09,6.82,7.329999923706055
2010-04-30,7.07,6.91,7.070000171661377
2010-05-03,7.08,7.09,7.389999866485596
2010-05-04,7.07,7.19,6.860000133514404
2010-05-05,7.08,7.12,6.929999828338623
2010-05-06,7.02,6.93,6.389999866485596
2010-05-07,6.97,6.79,6.380000114440918
2010-05-10,6.94,6.7,6.949999809265137
2010-05-11,6.91,6.7,6.829999923706055
2010-05-12,6.9,6.77,7.300000190734863
2010-05-13,6.89,6.94,7.239999771118164
2010-05-14,6.89,7.08,7.090000152587891
2010-05-17,6.9,7.13,7.179999828338623
2010-05-18,6.9,7.16,7.0
2010-05-19,6.93,7.18,7.400000095367432
2010-05-20,6.95,7.1,6.840000152587891
2010-05-21,6.98,7.13,7.210000038146973
2010-05-24,7.0,7.1,7.039999961853027
2010-05-25,7.08,7.26,7.809999942779541
2010-05-26,7.13,7.47,8.449999809265137
2010-05-27,7.2,7.85,8.739999771118164
2010-05-28,7.29,8.17,8.829999923706055
2010-06-01,7.36,8.49,8.640000343322754
2010-06-02,7.48,8.82,9.4399995803833
2010-06-03,7.6,8.97,9.210000038146973
2010-06-04,7.71,8.94,8.59000015258789
2010-06-07,7.81,8.85,8.350000381469727
2010-06-08,7.89,8.83,8.579999923706055
2010-06-09,7.97,8.65,8.529999732971191
2010-06-10,8.07,8.64,9.15999984741211
2010-06-11,8.2,8.91,9.930000305175781
2010-06-14,8.33,9.17,9.65999984741211
2010-06-15,8.49,9.55,10.460000038146973
2010-06-16,8.67,9.96,10.569999694824219
2010-06-17,8.84,10.27,10.739999771118164
2010-06-18,9.02,10.37,10.4399995803833
2010-06-21,9.16,10.44,10.0
2010-06-22,9.28,10.24,9.470000267028809
2010-06-23,9.37,10.05,9.579999923706055
2010-06-24,9.42,9.81,9.569999694824219
2010-06-25,9.45,9.56,9.15999984741211
2010-06-28,9.46,9.37,9.079999923706055
2010-06-29,9.45,9.19,8.539999961853027
2010-06-30,9.41,8.99,8.609999656677246
2010-07-01,9.38,8.81,8.649999618530273
2010-07-02,9.36,8.61,8.1899995803833
2010-07-06,9.35,8.41,8.079999923706055
2010-07-07,9.39,8.57,9.319999694824219
2010-07-08,9.44,8.76,9.539999961853027
2010-07-09,9.46,8.93,9.539999961853027
2010-07-12,9.42,9.14,9.199999809265137
2010-07-13,9.4,9.39,9.329999923706055
2010-07-14,9.34,9.38,9.279999732971191
2010-07-15,9.27,9.29,9.109999656677246
2010-07-16,9.18,9.17,8.949999809265137
2010-07-19,9.09,9.06,8.619999885559082
2010-07-20,9.04,8.98,8.920000076293945
2010-07-21,9.02,8.96,9.210000038146973
2010-07-22,9.04,9.11,9.850000381469727
2010-07-23,9.08,9.39,10.350000381469727
2010-07-26,9.16,9.85,10.90999984741211
2010-07-27,9.24,10.17,10.539999961853027
2010-07-28,9.34,10.45,10.619999885559082
2010-07-29,9.44,10.62,10.65999984741211
2010-07-30,9.55,10.72,10.850000381469727
2010-08-02,9.68,10.66,10.640000343322754
2010-08-03,9.8,10.69,10.65999984741211
2010-08-04,9.84,10.57,10.029999732971191
2010-08-05,9.85,10.36,9.640000343322754
2010-08-06,9.84,10.09,9.489999771118164
2010-08-09,9.87,9.91,9.729999542236328
2010-08-10,9.89,9.72,9.720000267028809
2010-08-11,9.88,9.54,9.130000114440918
2010-08-12,9.89,9.46,9.229999542236328
2010-08-13,9.9,9.39,9.140000343322754
2010-08-16,9.93,9.29,9.210000038146973
2010-08-17,9.96,9.24,9.5
2010-08-18,9.98,9.34,9.609999656677246
2010-08-19,9.94,9.33,9.1899995803833
2010-08-20,9.88,9.32,9.100000381469727
2010-08-23,9.78,9.26,8.890000343322754
2010-08-24,9.69,9.11,8.75
2010-08-25,9.6,8.94,8.779999732971191
2010-08-26,9.5,8.83,8.640000343322754
2010-08-27,9.41,8.84,9.149999618530273
2010-08-30,9.32,8.84,8.869999885559082
2010-08-31,9.24,8.9,9.039999961853027
2010-09-01,9.22,9.05,9.5600004196167
2010-09-02,9.22,9.25,9.649999618530273
2010-09-03,9.24,9.42,9.970000267028809
2010-09-07,9.23,9.55,9.539999961853027
2010-09-08,9.22,9.64,9.489999771118164
2010-09-09,9.22,9.55,9.109999656677246
2010-09-10,9.2,9.38,8.789999961853027
2010-09-13,9.17,9.11,8.600000381469727
2010-09-14,9.15,8.95,8.779999732971191
2010-09-15,9.12,8.84,8.90999984741211
2010-09-16,9.1,8.84,9.119999885559082
2010-09-17,9.09,8.9,9.079999923706055
2010-09-20,9.1,9.02,9.210000038146973
2010-09-21,9.13,9.17,9.539999961853027
2010-09-22,9.14,9.18,8.960000038146973
2010-09-23,9.14,9.12,8.829999923706055
2010-09-24,9.16,9.11,8.989999771118164
2010-09-27,9.17,9.12,9.289999961853027
2010-09-28,9.18,9.06,9.239999771118164
2010-09-29,9.19,9.08,9.0600004196167
2010-09-30,9.17,9.17,9.25
2010-10-01,9.15,9.23,9.289999961853027
2010-10-04,9.11,9.19,9.119999885559082
2010-10-05,9.09,9.19,9.229999542236328
2010-10-06,9.08,9.22,9.229999542236328
2010-10-07,9.09,9.22,9.239999771118164
2010-10-08,9.1,9.18,9.069999694824219
2010-10-11,9.12,9.15,9.0
2010-10-12,9.16,9.22,9.550000190734863
2010-10-13,9.2,9.33,9.800000190734863
2010-10-14,9.24,9.44,9.779999732971191
2010-10-15,9.27,9.57,9.699999809265137
2010-10-18,9.31,9.79,10.119999885559082
2010-10-19,9.34,9.9,10.09000015258789
2010-10-20,9.44,10.11,10.84000015258789
2010-10-21,9.53,10.3,10.75
2010-10-22,9.62,10.52,10.8100004196167
2010-10-25,9.74,10.81,11.579999923706055
2010-10-26,9.86,11.14,11.729999542236328
2010-10-27,10.01,11.37,12.0
2010-10-28,10.14,11.6,11.880000114440918
2010-10-29,10.27,11.8,11.789999961853027
2010-11-01,10.39,11.81,11.65999984741211
2010-11-02,10.53,11.85,11.920000076293945
2010-11-03,10.67,11.86,12.069999694824219
2010-11-04,10.78,11.8,11.5600004196167
2010-11-05,10.91,11.76,11.569999694824219
2010-11-08,11.02,11.67,11.229999542236328
